"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"sample type","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","gut contents","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick"
"lake","GW","GW","GW","GW","GW","RB","RB","RB","RB","RB","WB","WB","WB","WB","WB","GW","GW","GW","GW","GW","RB","RB","RB","RB","RB","WB","WB","WB","WB","WB","WB","GW","GW","GW","GW","RB","RB","RB","RB","RB","RB","WB","WB","WB","WB","WB","WB"
"predator id","Dvil","Dvil","Dvil","Dvil","Gtig","Cmultise","Gzad","Gzad","Gzad","Gzad","Dvil","Dvil","Dvil","Dvil","Dvil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","GW1","GW2","GW4","GWR","GW4","RB3","RB3","RB4","RB5","RB6","WB1","WB2","WB3","WB4","WB5","GW1","GW2","GW3","GW4","GW5","RB1","RB2","RB4","RB5","RB6","WB1","WB2","WB3","WB4","WB5","WB6","GW1","GW2","GW3","GW4","RB1","RB2","RB3","RB4","RB5","RB6","WB1","WB2","WB3","WB4","WB5","WB6"
"Asplanchna sieboldi","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bothrioneurum vejdovskyanum","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chaetogaster diastrophus","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chironomus luridus","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chironomus sp. BOLD:AAI4299","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chydorus brevilabris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corophium multisetosum","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
