"","Asellus_aquaticus","Daphnia_magna","Dikerogammarus_villosus","Homo_sapiens","Hymenoptera","Osmia_bicornis","Philodina_roseola"
"DvD0.2",0,0,20400,0,0,0,0
"DvD12.1",0,0,56046,0,0,0,0
"DvD8.1",0,0,29096,0,0,0,0
"DvD4.1",0,0,66373,0,0,0,0
"DvD0.1",0,0,69492,0,0,0,0
"DvD8C",0,0,48599,0,0,0,0
"DvD4C",0,0,49852,0,0,0,0
"DvD0C",0,0,42884,0,0,0,0
"DvD8.3",0,0,49558,0,0,0,0
"DvD4.3",0,0,28498,0,0,0,0
"DvD0.3",0,0,18499,0,0,0,0
"DvD36.2",0,0,31638,0,0,0,0
"DvD24.2",0,0,29714,0,0,0,0
"DvD12.2",0,0,9542,0,0,0,0
"DvD8.2",0,0,15699,0,0,0,0
"DvD4.2",0,54,23153,0,0,0,0
"DvD24.4",0,0,27888,0,0,0,0
"DvD12.4",0,0,37076,0,0,0,0
"DvD8.4",0,0,33845,0,0,0,0
"DvD4.4",0,0,35142,0,0,0,0
"DvD0.4",0,0,38999,0,0,0,0
"DvD36.3",0,0,40419,0,0,0,0
"DvD24.3",0,0,32008,0,0,0,0
"DvD12.3",0,0,16327,0,0,0,0
"DvA0C",0,0,12169,0,0,0,0
"DvD36.5",0,0,21744,0,0,0,0
"DvD24.5",0,0,27552,0,0,0,0
"DvD12.5",0,0,20343,0,0,0,0
"DvD8.5",0,0,19605,0,0,0,0
"DvD36.4",0,0,18410,0,0,0,0
"DvA4.1",739,0,27856,0,0,0,0
"DvA0.1",17,0,4789,0,0,0,0
"DvA36C",0,0,27359,0,0,0,0
"DvA24C",0,0,29655,0,0,0,0
"DvA12C",0,0,25094,0,0,0,0
"DvA8C",0,0,16139,0,0,0,0
"DvA4C",0,0,18479,0,0,0,0
"DvA24.2",819,0,31018,0,0,0,0
"DvA12.2",6878,0,27216,0,0,0,0
"DvA8.2",2301,0,9494,0,0,0,0
"DvA4.2",2419,0,22535,0,0,0,0
"DvA0.2",47,0,32579,0,0,0,0
"DvA36.1",9401,0,13999,0,0,0,0
"DvA24.1",80,0,14468,0,0,0,0
"DvA36.4",55,0,25985,0,0,0,0
"DvA24.4",5675,0,15310,0,0,0,0
"DvA12.4",62,0,26635,0,0,0,0
"DvA8.4",417,0,7857,0,0,0,0
"DvA4.4",5057,0,15930,0,0,0,0
"DvA0.4",415,0,18552,0,0,0,0
"DvD0.2.1",0,0,33151,0,0,0,0
"DvD12.1.1",0,0,46139,0,0,0,0
"DvD8.1.1",0,0,40198,0,0,0,0
"DvD4.1.1",0,0,40093,0,0,0,0
"DvD0.1.1",0,0,34329,0,0,0,0
"DvD8C.1",0,0,35701,0,0,0,0
"DvD4C.1",0,0,34882,0,0,0,0
"DvD0C.1",0,0,20270,0,0,0,0
"DvD8.3.1",0,0,24336,0,0,0,0
"DvD4.3.1",0,0,31092,0,0,0,0
"DvD0.3.1",0,0,38366,0,0,0,0
"DvD36.2.1",0,0,37811,0,0,0,0
"DvD24.2.1",0,0,17411,0,0,0,0
"DvD12.2.1",0,0,25643,0,0,0,0
"DvD8.2.1",0,0,27867,0,0,0,0
"DvD4.2.1",0,34,6842,0,0,0,0
"DvD24.4.1",0,0,33736,0,0,0,0
"DvD12.4.1",0,0,33360,0,0,0,0
"DvD8.4.1",0,0,40980,0,0,0,0
"DvD4.4.1",0,0,37824,0,0,0,0
"DvD0.4.1",0,0,30786,0,0,0,0
"DvD36.3.1",0,0,22016,0,0,0,0
"DvD24.3.1",0,0,15290,0,0,0,0
"DvA0C.1",0,0,31028,0,0,0,0
"DvD36.5.1",0,0,31236,0,0,0,0
"DvD24.5.1",0,0,35483,0,0,0,0
"DvD12.5.1",0,0,16868,0,0,0,0
"DvD8.5.1",0,0,20540,0,0,0,0
"DvD4.5.1",0,0,22945,0,0,0,0
