#OTU ID,WBSBL,WB3S,WB2S,WB1S,RBSBL,RB3S,RB2S,RB1S,DvD0.2,DvD12.1,DvD8.1,DvD4.1,DvD0.1,DvD8C,DvD4C,DvD0C,DvD8.3,DvD4.3,DvD0.3,DvD36.2,DvD24.2,DvD12.2,DvD8.2,DvD4.2,DvD24.4,DvD12.4,DvD8.4,DvD4.4,DvD0.4,DvD36.3,DvD24.3,DvD12.3,DvA0C,NEGATIVE,DvD36.5,DvD24.5,DvD12.5,DvD8.5,DvD4.5,DvD36.4,DvA8.1,DvA4.1,DvA0.1,DvA36C,DvA24C,DvA12C,DvA8C,DvA4C,DvA24.2,DvA12.2,DvA8.2,DvA4.2,DvA0.2,DvA36.1,DvA24.1,DvA12.1,POSITIVE,DvA36.4,DvA24.4,DvA12.4,DvA8.4,DvA4.4,DvA0.4,DvA36.2,NEGATIVE,NEGATIVE,GWBL,GW3,GW2,GW1,NEGATIVE,NEGATIVE,WBBL,WB3,WB2,WB1,RBBL,RB3,RB2,RB1,WBSBL,WB3S,WB2S,WB1S,RBSBL,RB3S,RB2S,RB1S,DvD0.2,DvD12.1,DvD8.1,DvD4.1,DvD0.1,DvD8C,DvD4C,DvD0C,DvD8.3,DvD4.3,DvD0.3,DvD36.2,DvD24.2,DvD12.2,DvD8.2,DvD4.2,DvD24.4,DvD12.4,DvD8.4,DvD4.4,DvD0.4,DvD36.3,DvD24.3,DvD12.3,DvA0C,NEGATIVE,DvD36.5,DvD24.5,DvD12.5,DvD8.5,DvD4.5,DvD36.4,DvA8.1,DvA4.1,DvA0.1,DvA36C,DvA24C,DvA12C,DvA8C,DvA4C,DvA24.2,DvA12.2,DvA8.2,DvA4.2,DvA0.2,DvA36.1,DvA24.1,DvA12.1,POSITIVE,DvA36.4,DvA24.4,DvA12.4,DvA8.4,DvA4.4,DvA0.4,DvA36.2,NEGATIVE,NEGATIVE,GWBL,GW3,GW2,GW1,NEGATIVE,NEGATIVE,WBBL,WB3,WB2,WB1,RBBL,RB3,RB2,RB1,WBSBL,WB3S,WB2S,WB1S,RBSBL,RB3S,RB2S,RB1S,DvD0.2,DvD12.1,DvD8.1,DvD4.1,DvD0.1,DvD8C,DvD4C,DvD0C,DvD8.3,DvD4.3,DvD0.3,DvD36.2,DvD24.2,DvD12.2,DvD8.2,DvD4.2,DvD24.4,DvD12.4,DvD8.4,DvD4.4,DvD0.4,DvD36.3,DvD24.3,DvD12.3,DvA0C,NEGATIVE,DvD36.5,DvD24.5,DvD12.5,DvD8.5,DvD4.5,DvD36.4,DvA8.1,DvA4.1,DvA0.1,DvA36C,DvA24C,DvA12C,DvA8C,DvA4C,DvA24.2,DvA12.2,DvA8.2,DvA4.2,DvA0.2,DvA36.1,DvA24.1,DvA12.1,POSITIVE,DvA36.4,DvA24.4,DvA12.4,DvA8.4,DvA4.4,DvA0.4,DvA36.2,NEGATIVE,NEGATIVE,GWBL,GW3,GW2,GW1,NEGATIVE,NEGATIVE,WBBL,WB3,WB2,WB1,RBBL,RB3,RB2,RB1,WBSBL,WB3S,WB2S,WB1S,RBSBL,RB3S,RB2S,RB1S,DvD0.2,DvD12.1,DvD8.1,DvD4.1,DvD0.1,DvD8C,DvD4C,DvD0C,DvD8.3,DvD4.3,DvD0.3,DvD36.2,DvD24.2,DvD12.2,DvD8.2,DvD4.2,DvD24.4,DvD12.4,DvD8.4,DvD4.4,DvD0.4,DvD36.3,DvD24.3,DvD12.3,DvA0C,NEGATIVE,DvD36.5,DvD24.5,DvD12.5,DvD8.5,DvD4.5,DvD36.4,DvA8.1,DvA4.1,DvA0.1,DvA36C,DvA24C,DvA12C,DvA8C,DvA4C,DvA24.2,DvA12.2,DvA8.2,DvA4.2,DvA0.2,DvA36.1,DvA24.1,DvA12.1,POSITIVE,DvA36.4,DvA24.4,DvA12.4,DvA8.4,DvA4.4,DvA0.4,DvA36.2,NEGATIVE,NEGATIVE,GWBL,GW3,GW2,GW1,NEGATIVE,NEGATIVE,WBBL,WB3,WB2,WB1,RBBL,RB3,RB2,RB1,taxomomy
Lumbricus_rubellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Lumbricidae', 'g__Lumbricus', 's__Lumbricus_rubellus']"
Bothrioneurum_vejdovskyanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Bothrioneurum', 's__Bothrioneurum_vejdovskyanum']"
Chaetogaster_diaphanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Chaetogaster', 's__Chaetogaster_diaphanus']"
Chaetogaster_diastrophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Chaetogaster', 's__Chaetogaster_diastrophus']"
Nais_barbata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Nais', 's__Nais_barbata']"
Nais_bretscheri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Nais', 's__Nais_bretscheri']"
Nais_elinguis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Nais', 's__Nais_elinguis']"
Ophidonais_serpentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Ophidonais', 's__Ophidonais_serpentina']"
Psammoryctides_barbatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Psammoryctides', 's__Psammoryctides_barbatus']"
Tubifex_tubifex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['k__Metazoa', 'p__Annelida', 'c__unknown', 'o__Haplotaxida', 'f__Tubificidae', 'g__Tubifex', 's__Tubifex_tubifex']"
