TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	TAXA	NUMBERS
GW101	16/05/2017	GW	1	Diptera	Chironomidae	Chironomidae	134
GW102	16/05/2017	GW	1	Isopoda	Asellidae	Asellus_aquaticus	9
GW103	16/05/2017	GW	1	Amphipoda	Gammaridae	Dikerogammarus_villosus	16
GW106	16/05/2017	GW	1	Diptera	Nematocera	Nematocera	1
GW107	16/05/2017	GW	1	Oligochaeta	Oligochaeta	Oligochaeta	16
GW108	16/05/2017	GW	1	Diptera	Tipulidae	Tipulidae	1
GW109	16/05/2017	GW	1	Amphipoda	Crangonydae	Crangonyx_pseudogracilis	2
GW201	16/05/2017	GW	2	Diptera	Chironomidae	Chironomidae	43
GW202	16/05/2017	GW	2	Amphipoda	Gammaridae	Dikerogammarus_villosus	42
GW204	16/05/2017	GW	2	Mollusca	Valvatidae	Valvata_piscinalis	3
GW205	16/05/2017	GW	2	Mollusca	Bithyniidae	Bithynia_tentaculata	1
GW206	16/05/2017	GW	2	Mollusca	Planorbidae	Planorbis_vortex	1
GW207	16/05/2017	GW	2	Mollusca	Lymnaeidae	Lymnaea_auricolaria	1
GW207	16/05/2017	GW	2	Mollusca	Lymnaeidae	Lymnaea_truncatula	1
GW209	16/05/2017	GW	2	Ephemeroptera	Caenidae	Caenis_robusta	1
GW210	16/05/2017	GW	2	Diptera	Nematocera	Nematocera	2
GW211	16/05/2017	GW	2	Coleoptera	Coleoptera	Coleoptera	3
GW212	16/05/2017	GW	2	Mollusca	Pisididae	Pisidium_sp.	2
GW213	16/05/2017	GW	2	Oligochaeta	Oligochaeta	Oligochaeta	20
GW214	16/05/2017	GW	2	Diptera	Tipulidae	Tipulidae	1
GW301	16/05/2017	GW	3	Diptera	Chironomidae	Chironomidae	136
GW302	16/05/2017	GW	3	Amphipoda	Gammaridae	Dikerogammarus_villosus	7
GW303	16/05/2017	GW	3	Hemiptera	Corixidae	Corixidae	4
GW304	16/05/2017	GW	3	Oligochaeta	Tubificidae	Tubificidae	44
GW305	16/05/2017	GW	3	Cladocera	Chydoridae	Eurycercus_sp.	35
GW306	16/05/2017	GW	3	Coleoptera	Dytiscidae	Dytiscidae	1
GW307	16/05/2017	GW	3	Coleoptera	Coleoptera	Coleoptera	1
GW308	16/05/2017	GW	3	Mollusca	Lymnaeidae	Lymnaea_sp.	1
GW308	16/05/2017	GW	3	Mollusca	Valvatidae	Valvata_piscinalis	1
GW309	16/05/2017	GW	3	Ostracoda	Ostracoda	Ostracoda	28
GW310	16/05/2017	GW	3	Diptera	Nematocera	Nematocera	3
GW311	16/05/2017	GW	3	Trichoptera	Leptoceridae	Leptoceridae	1
GW313	16/05/2017	GW	3	Diptera	Dolichopodidae	Dolichopodidae	1
GW313	16/05/2017	GW	3	Diptera	Tipulidae	Tipulidae	1
GW314	16/05/2017	GW	3	Hirudinea	Glossiphonidae	Helobdella_sp.	1
GW315	16/05/2017	GW	3	Amphipoda	Gammaridae	Gammarus_tigrinus	2
GW316	16/05/2017	GW	3	Amphipoda	Gammaridae	Gammarus_sp.	1
GW401	16/05/2017	GW	4	Amphipoda	Gammaridae	Dikerogammarus_villosus	11
GW402	16/05/2017	GW	4	Diptera	Chironomidae	Chironomidae	101
GW403	16/05/2017	GW	4	Oligochaeta	Tubificidae	Tubificidae	10
GW404	16/05/2017	GW	4	Diptera	Nematocera	Nematocera	3
GW405	16/05/2017	GW	4	Amphipoda	Gammaridae	Gammarus_tigrinus	4
GW406	16/05/2017	GW	4	Ostracoda	Ostracoda	Ostracoda	1
GW406	16/05/2017	GW	4	Cladocera	Chydoridae	Eurycercus_sp.	1
