TUBE ID	DATE	LOCATION	REPLICATE	ORDER	FAMILY	TAXA	NUMBERS
RB101	18/05/2017	RB	1	Ephemeroptera	Caenidae	Caenis_robusta	1
RB102	18/05/2017	RB	1	Hemiptera	Corixidae	Corixidae	3
RB103	18/05/2017	RB	1	Diptera	Chironomidae	Chironomidae	69
RB104	18/05/2017	RB	1	Mollusca	Unionidae	Unio_pictorum	1
RB106	18/05/2017	RB	1	Zygoptera	Coenagrionidae	Coenagrionidae	1
RB107	18/05/2017	RB	1	Zygoptera	Zygoptera	Zygoptera	1
RB108	18/05/2017	RB	1	Crustacea	Corophidae	Corophium_sp.	1
RB109	18/05/2017	RB	1	Crustacea	Asellidae	Asellus_aquaticus	1
RB110	18/05/2017	RB	1	Crustacea	Gammaridae	Gammarus_zaddachi	8
RB111	18/05/2017	RB	1	Crustacea	Gammaridae	Gammarus_sp.	4
RB112	18/05/2017	RB	1	Crustacea	Corophidae	Corophium_curvispinum	1
RB201	18/05/2017	RB	2	Diptera	Chironomidae	Chironomidae	108
RB202	18/05/2017	RB	2	Hydracarina	Limnesiidae	Limnesia_sp.	3
RB203	18/05/2017	RB	2	Crustacea	Corophidae	Corophium_curvispinum	6
RB204	18/05/2017	RB	2	Crustacea	Gammaridae	Gammarus_zaddachi	2
RB205	18/05/2017	RB	2	Crustacea	Corophidae	Corophium_sp.	1
RB206	18/05/2017	RB	2	Hemiptera	Corixidae	Corixidae	1
RB207	18/05/2017	RB	2	Trichoptera	Leptoceridae	Oecetis_lacustris	1
RB208	18/05/2017	RB	2	Mollusca	Sphaeridae	Pisidium_sp.	1
RB209	18/05/2017	RB	2	Mollusca	Valvatidae	Valvatidae	1
RB210	18/05/2017	RB	2	Mollusca	Valvatidae	Valvata_piscinalis	1
RB301	18/05/2017	RB	3	Zygoptera	Coenagrionidae	Coenagrionidae	3
RB302	18/05/2017	RB	3	Trichoptera	Ecnomidae	Ecnomus_tenellus	2
RB303	18/05/2017	RB	3	Diptera	Chironomidae	Chironomidae	70
RB304	18/05/2017	RB	3	Crustacea	Gammaridae	Gammarus_zaddachi	40
RB305	18/05/2017	RB	3	Crustacea	Corophidae	Corophium_curvispinum	33
RB306	18/05/2017	RB	3	Crustacea	Corophidae	Corophium_curvispinum	28
RB307	18/05/2017	RB	3	Hydracarina	Limnesiidae	Limnesia_sp.	1
RB308	18/05/2017	RB	3	Mollusca	Lymnaeidae	Lymnaeidae	1
RB309	18/05/2017	RB	3	Mollusca	Mollusca	Mollusca	2
RB310	18/05/2017	RB	3	Trichoptera	Leptoceridae	Oecetis_sp.	1
RB311	18/05/2017	RB	3	Trichoptera	Leptoceridae	Ceraclea_senilis	1
RB312	18/05/2017	RB	3	Nematoda	Nematoda	Nematoda	1
RB313	18/05/2017	RB	3	Mollusca	Bithyniidae	Bithyniidae	12
RB314	18/05/2017	RB	3	Mollusca	Dreissenidae	Dreissena_polymorpha	2
RB315	18/05/2017	RB	3	Mollusca	Lymnaeidae	Lymnaea_stagnalis	3
RB316	18/05/2017	RB	3	Mollusca	Neritidae	Theodoxus_fluviatilis	13
RB317	18/05/2017	RB	3	Mollusca	Bithyniidae	Bithynia_tentaculata	6
RB318	18/05/2017	RB	3	Mollusca	Sphaeridae	Pisidium_sp.	10
RB401	18/05/2017	RB	4	Crustacea	Asellidae	Asellus_aquaticus	3
RB402	18/05/2017	RB	4	Crustacea	Gammaridae	Gammarus_zaddachi	4
RB403	18/05/2017	RB	4	Zygoptera	Coenagrionidae	Coenagrionidae	2
RB404	18/05/2017	RB	4	Mollusca	Sphaeridae	Pisidium_sp.	13
RB405	18/05/2017	RB	4	Mollusca	Planorbidae	Planorbis_contortus	2
RB405-B	18/05/2017	RB	4	Mollusca	Planorbidae	Segmentina_sp.	1
RB406	18/05/2017	RB	4	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	1
